plz,ort,bundesland,zulassungsbezirk
01009,Westroda-Ost,ST,QAT
01046,Mönchshagen an der Aue,ST,QAT
01081,Rabenburg,ST,QAT
01133,Unterdorf,ST,QAT
01195,Erlendorf,ST,QAT
01223,Moordorf,ST,QAT
01276,Grünbrunn im Grund,ST,NF
01292,Hohenhausen,ST,NF
01378,Espenbrunn,ST,NF
01396,Sonnenhofen,ST,NF
01404,Kiesstadt-Süd,ST,NF
01496,Bad Altfeld,ST,NF
01534,Fähringen,SN,BOW
01585,Espenweiler,SN,BOW
01596,Südthal an der Ilm,SN,BOW
01614,Fährstadt,SN,BOW
01628,Königsstein,SN,BOW
01639,Bergwald,SN,BOW
01675,Talweiler,SN,BOW
01685,Espenbrück,SN,BOW
01770,Königshausen,SN,BOW
01782,Grünbrück,SN,BOW
01804,Eichenhagen am Berg,SN,XOA
01815,Talheim,SN,XOA
01824,Unterau im Tal,SN,XOA
01830,Marktbrunn,SN,XOA
01853,Buchenhofen-Süd,SN,XOA
01891,Buchental,SN,XOA
01900,Bischofsbrück am See,SN,XOA
01908,Hohenhausen,SN,XOA
01910,Weidenbach,SN,XOA
01964,Bischofsfeld im Grund,SN,XOA
01986,Espenau,SN,XOA
01988,Mönchshofen am Moor,SN,XOA
02004,Nordthal,SN,XOA
02007,Feldhagen,SN,XOA
02012,Brückenbach,SN,XOA
02022,Moorbrück-Nord,SN,XOA
02025,Weidenhausen,SN,XOA
02067,Brückenhausen,ST,GMZ
02069,Fährbrück,ST,GMZ
02077,Großau,ST,GMZ
02084,Mühlstadt an der Aue,ST,GMZ
02085,Rehberg,ST,GMZ
02087,Eichenkirchen-West,ST,GMZ
02093,Sommerberg,ST,GMZ
02106,Bad Unterhagen-Süd,ST,GMZ
02112,Hirschhausen,ST,GMZ
02136,Hafensee,ST,GMZ
02142,Sommerweiler,ST,GMZ
02149,Rothausen,ST,GMZ
02155,Hohenhagen,ST,GMZ
02165,Ahornroda,ST,GMZ
02173,Moorhofen,ST,GMZ
02177,Weidenscheid,ST,GMZ
02178,Rehwald,ST,GMZ
02190,Marktthal,ST,GMZ
02200,Hohenthal,ST,GMZ
02211,Marktdorf,ST,GMZ
02213,Ahorningen,ST,GMZ
02217,Rabenfeld im Grund,ST,GMZ
02222,Hohendorf,ST,GMZ
02226,Ritterberg an der Ilm,ST,GMZ
02235,Brückenberg,ST,GMZ
02246,Buchenstein,ST,GMZ
02260,Falkenbach,ST,GMZ
02267,Obersee am Berg,ST,GMZ
02276,Winterheim-Nord,ST,GMZ
02282,Ostbrunn,ST,GMZ
02291,Bärenheim,ST,GMZ
02345,Erlendorf,ST,URW
02346,Rotheim,ST,URW
02353,Steinstein an der Aue,ST,URW
02375,Ahornwald an der Aue,ST,URW
02378,Rabenau,ST,URW
02401,Hafenweiler,ST,URW
02414,Sommerhausen,ST,URW
02415,Fährweiler,ST,URW
02425,Heideberg,ST,URW
02431,Ahorndorf am Moor,ST,URW
02441,Sandstein,ST,URW
02452,Sommerstadt,ST,URW
02458,Lindenkirchen,ST,URW
02461,Neustadt,ST,URW
02470,Espental,ST,URW
02482,Wolfsstadt,ST,URW
02485,Eichenberg-Süd,ST,URW
02506,Burgstadt,ST,URW
02524,Rabenfeld,ST,URW
02549,Adlerstadt,ST,URW
02558,Brückenthal,ST,URW
02580,Westfeld,ST,URW
02581,Fährwald,ST,URW
02597,Nordheim,BB,DMM
02598,Monddorf,BB,DMM
02599,Fuchsstadt-Süd,BB,DMM
02600,Neuweiler,BB,DMM
02601,Königsfurt,BB,DMM
02607,Weidenweiler,BB,DMM
02608,Weidenbrunn,BB,DMM
02609,Kleinsee,BB,DMM
02612,Ostbrunn,BB,DMM
02614,Buchenberg,BB,DMM
02616,Wolfsburg,BB,DMM
02618,Neudorf,BB,DMM
02626,Niederstadt im Grund,BB,DMM
02628,Bergbach am See,BB,DMM
02629,Heidethal,BB,DMM
02630,Rotbrück,BB,DMM
