zulassungsbezirk,regionalklasse_hp,regionalklasse_tk,regionalklasse_vk
A,6,14,5
AA,7,7,8
AE,5,3,6
AEZ,4,11,6
AF,3,3,5
AFH,12,14,8
AG,5,8,7
AH,2,1,1
AHA,2,5,1
AHF,12,5,6
AJR,3,2,4
AK,8,8,6
AL,2,3,2
AN,7,13,7
APF,7,8,6
AQX,12,12,9
ATR,7,15,5
AV,2,1,3
BG,10,12,7
BHE,12,8,7
BKD,8,11,7
BO,5,5,1
BOW,1,7,2
BP,3,3,4
BQ,7,11,2
BVV,9,6,4
BXL,2,3,1
C,4,1,3
CAE,6,9,1
CAW,4,11,6
CD,5,8,2
CDX,9,10,7
CEF,3,4,2
CEH,12,11,6
CHU,2,1,1
CK,11,10,9
CN,6,3,3
CO,10,10,8
CPL,10,4,4
CV,1,1,1
CW,4,10,4
CWU,11,10,7
CWX,12,12,8
CZ,9,6,2
D,8,4,6
DB,9,11,9
DC,2,2,3
DE,5,13,4
DJV,8,12,3
DKY,11,11,7
DLI,5,5,5
DMM,9,10,6
DPU,4,3,4
DT,6,8,9
DTV,12,15,9
DUV,3,8,4
E,5,5,8
EAX,3,9,4
EB,3,5,7
ECI,1,3,4
EDH,10,10,6
EDU,8,6,3
EDY,10,16,7
EFK,5,5,4
EFT,10,16,9
EG,2,2,1
EGI,2,9,6
EH,5,6,7
EHW,2,8,1
EJV,4,2,3
EM,1,1,1
ENI,4,2,2
EOI,1,1,1
EON,10,14,6
ERX,5,10,2
ES,2,12,8
ESH,11,9,7
ETQ,3,2,6
EUH,7,16,8
FEC,8,4,2
FFF,3,7,5
FH,3,5,5
FHJ,8,7,6
FI,8,10,9
FIG,9,10,5
FKM,11,9,4
FLH,7,7,3
FMH,10,13,8
FN,5,3,2
FS,8,13,3
FUY,12,15,9
FZL,10,14,7
G,11,14,7
GA,3,2,2
GCE,10,11,4
GEE,10,14,8
GI,4,15,3
GM,1,5,4
GMZ,11,15,8
GNB,12,10,8
GR,9,11,3
GVE,4,7,3
GVO,11,13,9
GWH,10,6,7
GYH,2,3,4
GZ,4,11,7
GZR,11,2,4
H,1,1,1
HB,3,3,5
HBC,2,7,6
HC,6,3,3
HDE,5,12,6
HDI,5,7,2
HEO,8,9,9
HI,11,14,3
HIG,8,15,6
HIJ,2,10,2
HM,12,11,4
HMK,4,1,1
HN,11,13,7
HNE,11,4,5
HON,9,13,8
HP,4,9,7
HQ,8,9,4
HS,1,11,2
HSN,11,8,8
HU,4,4,6
HWI,5,7,4
HXN,6,8,7
HZK,4,3,3
I,12,15,8
IAB,1,2,1
IB,5,5,2
ICD,3,5,6
ID,7,9,5
IGQ,6,4,2
IIE,1,1,1
IKX,11,9,7
ILL,9,15,6
IQ,9,8,7
IS,10,15,7
IWM,5,13,4
IXU,8,13,7
J,8,10,3
JA,2,5,4
JBN,4,7,5
JD,11,16,8
JDD,4,7,3
JER,11,15,9
JEW,5,15,6
JG,12,12,9
JGA,7,11,7
JGI,8,11,4
JGO,9,15,2
JGZ,1,4,7
JIB,3,6,6
JK,10,9,3
JP,11,15,9
JQE,10,12,7
JRR,2,2,1
JW,10,13,4
JXO,4,2,5
KAB,5,2,3
KCC,4,13,4
KD,4,16,5
KI,8,11,7
KOB,9,13,8
KPL,5,12,3
KR,11,12,7
KRQ,8,13,2
KRV,3,12,2
KT,10,8,5
KVV,4,4,3
KWV,11,9,4
KX,4,6,5
KY,4,6,1
LCG,3,4,6
LCV,1,5,5
LEO,6,2,3
LKT,4,2,3
LKY,7,12,5
LMW,4,15,5
LON,9,4,4
LP,12,10,8
LS,9,14,6
LSQ,4,15,7
LTN,5,9,7
LW,4,6,2
LX,6,6,4
LXN,5,14,4
M,11,14,8
MC,12,14,8
MED,12,12,8
MJ,1,4,1
MJF,12,14,9
MN,11,16,6
MO,11,13,9
MP,5,5,2
MTW,4,6,3
MX,1,1,4
MXW,5,12,4
MZQ,7,11,6
MZS,6,6,3
N,12,15,9
NBL,8,9,6
NDW,12,14,9
NF,4,4,3
NJP,6,8,6
NQ,2,3,5
NT,10,11,7
NW,12,16,8
NYF,3,14,3
NZG,9,5,7
OEG,6,8,1
OEY,3,5,3
OGZ,10,6,6
OIB,5,6,3
OMW,4,5,3
OOP,6,15,9
OQD,5,11,5
OU,2,8,3
OWW,8,16,4
OXS,9,11,3
OZJ,10,12,3
P,11,3,5
PDD,12,13,9
PDL,10,3,2
PF,10,16,9
PFM,9,6,6
PHW,5,9,4
PI,8,10,3
PIP,11,12,7
PK,3,6,4
PKF,5,4,1
PKL,7,16,8
PNJ,9,7,2
PO,4,7,5
POC,9,16,7
POP,2,7,6
PQ,6,11,3
PQY,7,12,8
PRF,7,6,3
PS,4,13,5
PTB,6,15,4
PU,8,9,7
PUU,8,10,4
PV,7,4,5
PVC,2,1,1
PVO,10,9,6
PXM,7,7,9
PY,2,2,1
Q,11,16,7
QAT,6,6,7
QBS,11,14,8
QCP,5,3,3
