vu_nummer,vu_name,marktanteil,quell_schnittstelle
18690,Nordstern Versicherung AG,0.022627,BIPRO_RNEXT
20397,Alpenwacht Versicherung AG,0.108057,BIPRO_RNEXT
34950,Hansekrone Assekuranz AG,0.065725,GDV
37072,Rheinlicht Versicherung AG,0.024477,BIPRO_RNEXT
47748,Elbwacht Versicherung AG,0.274427,BIPRO_420
55935,Silberdistel Assekuranz AG,0.040716,GDV
57916,Weserstern Versicherung AG,0.054692,CSV_IMPORT
60867,Taunusfels Versicherung AG,0.026640,BIPRO_420
65622,Ostseeanker Assekuranz AG,0.032272,BIPRO_420
66157,Schwarzwaldhort Versicherung AG,0.156457,BIPRO_420
71464,Donauklar Versicherung AG,0.046726,GDV
74136,Spreelicht Assekuranz AG,0.036027,BIPRO_RNEXT
85281,Harzquell Versicherung AG,0.029198,CSV_IMPORT
95621,Mainbogen Versicherung AG,0.081959,BIPRO_420
