plz,zuers_zone
01009,2
01046,1
01081,1
01133,1
01195,2
01223,1
01276,1
01292,1
01378,1
01396,1
01404,1
01496,1
01534,1
01585,1
01596,1
01614,1
01628,1
01639,1
01675,1
01685,1
01770,1
01782,1
01804,1
01815,1
01824,1
01830,1
01853,1
01891,1
01900,2
01908,1
01910,1
01964,1
01986,1
01988,1
02004,1
02007,1
02012,1
02022,1
02025,1
02067,1
02069,1
02077,1
02084,1
02085,1
02087,1
02093,1
02106,1
02112,1
02136,1
02142,1
02149,1
02155,1
02165,1
02173,1
02177,1
02178,1
02190,1
02200,1
02211,1
02213,1
02217,1
02222,1
02226,1
02235,1
02246,1
02260,1
02267,1
02276,1
02282,1
02291,1
02345,1
02346,1
02353,1
02375,1
02378,1
02401,1
02414,1
02415,2
02425,1
02431,1
02441,1
02452,1
02458,1
02461,1
02470,1
02482,1
02485,1
02506,1
02524,1
02549,1
02558,1
02580,1
02581,1
02597,1
02598,1
02599,1
02600,1
02601,1
02607,1
02608,1
02609,1
02612,1
02614,1
02616,1
02618,1
02626,1
02628,1
02629,1
02630,1
02634,2
02643,1
02648,1
02655,1
02656,1
02659,1
02660,1
02661,1
02663,1
02664,1
02667,1
02668,1
02670,1
02672,1
02676,1
02684,1
02687,1
02691,1
02692,1
02694,1
02695,1
02697,1
02698,1
02699,1
02707,1
02708,1
02709,1
02710,1
02711,1
02713,1
02714,1
02718,1
02723,1
02724,1
02728,1
02736,1
02741,1
02742,1
02743,1
02749,1
02760,1
02764,1
02772,1
02779,1
02780,1
02781,1
02783,1
02785,1
02793,1
02797,1
02805,1
02806,1
02810,1
02813,1
02814,1
02819,1
02820,1
02827,1
02831,1
02836,1
02843,1
02849,1
02854,1
02861,1
02870,1
02876,1
02916,1
02945,1
03001,1
03014,1
03024,1
03027,1
03036,1
03081,1
03139,1
03155,1
03157,1
03160,1
03162,1
03181,1
03190,1
03199,1
03207,1
03212,1
03223,1
03225,1
03250,1
03258,1
03260,1
03271,1
03279,1
03280,1
03285,1
03292,1
03304,1
03309,1
03310,1
03326,1
03344,1
03357,1
03361,1
03365,1
03368,1
03408,1
03410,1
03432,1
03433,1
03497,1
03501,1
03581,1
03590,1
03592,1
03666,2
03677,1
03682,2
03702,1
03709,1
03710,1
03716,1
03717,2
03743,1
03754,3
03755,1
03766,1
03767,1
03791,1
03792,1
03795,1
03799,1
03826,1
03827,3
03833,2
03835,1
03842,1
03863,1
03878,1
03892,1
03893,1
03894,1
03909,2
03926,1
03928,1
03946,1
03950,1
03952,1
03957,1
03961,1
03967,1
03975,1
03991,1
03993,1
04021,1
04029,1
04036,1
04046,1
04070,1
04082,1
04083,1
04084,1
04113,1
04123,1
04130,1
04131,1
04133,1
04160,1
04171,1
04194,1
04197,1
04201,1
04203,1
04205,1
04206,1
04213,1
04214,1
04225,1
04228,1
04231,1
04246,1
04258,1
04288,1
04304,1
04312,1
04320,1
04324,1
04332,1
04353,1
04364,1
04369,1
04373,1
04380,1
04401,1
04406,1
04409,1
04417,1
04438,1
04493,1
04512,1
04514,1
04515,1
04517,1
04531,1
04532,1
04543,1
04554,1
04557,1
04564,1
04575,1
04578,1
04580,2
04581,1
04607,1
04615,1
04616,1
04621,1
04626,1
04642,1
04650,1
04667,1
04676,1
04680,1
04697,1
04700,1
04705,2
04711,1
04720,1
04733,1
04734,1
04740,1
04741,1
04744,1
04756,1
04761,1
04764,1
04773,1
04780,1
04786,1
04788,1
04790,1
04794,1
04798,1
04799,1
04801,1
04803,1
04807,1
04808,1
04811,1
04812,1
04825,1
04827,1
04837,1
04840,1
04842,1
04845,1
04853,1
04862,1
04873,1
04876,1
04878,1
04887,1
04889,1
04896,1
04900,1
04909,1
04910,1
04912,1
04920,1
04930,1
04938,1
04943,1
04944,1
04946,1
04950,1
04956,1
04957,1
04967,1
04970,1
04971,1
04972,1
04974,1
05098,4
05144,3
05210,2
05214,2
05277,2
05301,1
05326,1
05367,1
05387,1
05398,1
05405,1
05415,2
05423,1
05425,1
05437,1
05490,1
05499,2
05504,1
05518,1
05521,1
05549,1
05565,1
05584,1
05586,2
05593,1
05626,2
05628,1
05645,1
05655,1
05685,1
05715,1
05784,1
05785,1
05796,1
05800,1
05804,1
05817,1
05857,1
05871,1
05877,1
05878,1
05881,1
05887,1
05901,1
05905,1
05920,1
05989,1
05993,1
06012,1
06038,1
06044,1
06063,1
06065,1
06079,1
06083,1
06087,1
06095,1
06096,1
06103,1
06112,1
06118,1
06132,1
06145,1
06153,1
06188,1
06191,1
06218,1
06226,1
06241,1
06273,1
06278,1
06295,1
06312,1
06356,1
06475,1
06480,1
06491,2
06533,1
06545,1
06580,1
06600,1
06614,1
06641,1
06656,1
06665,1
06674,1
06691,1
06707,1
06720,1
06782,1
06819,1
06853,1
06857,1
06862,1
06863,1
06903,1
06919,1
06931,1
06940,1
06953,1
06954,1
06989,1
07008,1
07009,1
07013,1
07015,1
07033,1
07056,1
07058,1
07066,1
07067,1
07071,1
07082,1
07112,1
07143,1
07211,1
07239,1
07249,1
07303,1
07319,1
07337,1
07344,1
07350,1
07382,1
07473,1
07549,1
07610,1
07665,1
07701,1
07881,1
07891,1
07895,1
07934,1
07946,1
07950,1
07961,1
08027,1
08053,1
08066,1
08080,1
08088,1
08090,1
08095,1
08100,1
08133,1
08137,1
08158,1
08192,1
08218,1
08223,1
08279,1
08300,1
08301,1
08302,1
08309,1
08408,1
08458,1
08470,1
08477,1
08492,1
08500,1
08521,1
08522,1
08534,1
08539,1
08543,1
08551,1
08553,1
08599,1
08627,1
08645,1
08662,1
08664,1
08696,1
08710,1
08713,1
08723,1
08726,1
08728,1
08740,1
08751,1
08811,1
08844,1
08851,1
08882,1
08895,1
08901,1
08904,1
08917,1
08918,1
08924,1
08928,1
08939,1
08974,1
09007,1
09020,1
09041,1
09053,1
09074,1
09077,1
09082,1
09137,1
09150,1
09157,1
09161,1
09167,1
09218,1
09244,1
09278,1
09283,1
09304,1
09310,1
09317,1
09341,1
09376,1
09387,1
09409,1
09424,1
09441,1
09445,1
09449,1
09454,1
09455,1
09463,1
09466,1
09486,1
09497,2
09511,1
09512,1
09520,1
09527,2
09528,2
09534,1
09540,1
09552,1
09569,1
09571,1
09579,2
09589,1
09591,1
