regel_id,beschreibung,entitaet,spalten,granularitaet_a,fehlerklasse_b,erkennbarkeit_c,schweregrad,literatur,fachliche_grundlage,schicht,in_zellmetrik
R-001,Kernpflichtfelder sind nicht leer; bei anrede ungleich FIRMA zusaetzlich das Geburtsdatum,"anfrage, person",anfrage_id; eingangszeitpunkt; sparte; vn_person_id; nachname; plz; geburtsdatum; anrede,G1,B1,C1,HART,RD; KIM; FAN; DAMA,Ohne diese Felder ist keine Tarifierung moeglich. Der bedingte Teil ist ein CFD-Beispiel: Eine juristische Person hat kein Geburtsdatum,typed,ja
R-002,plz erfuellt ^\d{5}$ und ist als Zeichenkette gefuehrt,person,plz,G1,B2,C1,HART,FOI; RD,Fuehrende Null (01067) geht bei Integer-Typisierung verloren,raw,ja
R-003,iban erfuellt ^DE\d{20}$ (genau 22 Zeichen),zahlung,iban,G1,B2,C1,HART,RD; DAMA,"ISO 13616, deutsche IBAN-Laenge",raw,ja
R-004,iban besteht die Pruefziffernpruefung Mod 97-10,zahlung,iban,G1,B2,C1,HART,RD; ISO,ISO 7064,raw,ja
R-005,bic hat exakt 8 oder 11 Zeichen,zahlung,bic,G1,B2,C1,HART,RD,ISO 9362 — 9 oder 10 Zeichen existieren nicht,raw,ja
R-006,email erfuellt das vereinfachte RFC-5322-Muster,person,email,G1,B2,C1,HART,RD; FOI,"RFC 5322, vereinfachte Form",raw,ja
R-007,hsn erfuellt ^\d{4}$,risiko_kfz,hsn,G1,B2,C1,HART,RD,"KBA, Zulassungsbescheinigung Teil I, Feld 2.1",raw,ja
R-008,tsn erfuellt ^[A-Z0-9]{3}$,risiko_kfz,tsn,G1,B2,C1,HART,RD,"Zulassungsbescheinigung Teil I, Feld 2.2",raw,ja
R-009,Jedes Datumsfeld der Rohschicht ist ein existierender Kalendertag,alle,erstzulassung; fuehrerschein_datum; geburtsdatum; gueltig_ab; gueltig_bis; sepa_mandat_datum; versicherungsbeginn; zulassung_auf_vn,G1,B2,C1,HART,RD; FOI,"31022026 ist formal achtstellig, aber kein Kalendertag. Zwingend auf der Rohschicht (spec/01, Abschnitt 6)",raw,ja
R-010,"zahlweise steht im GDV-Katalog {1, 2, 4, 5, 6, 8, 9}",anfrage,zahlweise,G1,B2,C1,HART,RD; KIM,GDV Anlage 14 — 3 und 7 existieren nicht,typed,ja
R-011,"sparte steht im Spartenverzeichnis {051, 052, 053, 130}","anfrage, tarif",sparte,G1,B2,C1,HART,RD,"GDV Anlage 1, Spartenverzeichnis",typed,ja
R-012,waehrung existiert im ISO-4217-Katalog und ist im Kontext dieses Systems EUR,anfrage,waehrung,G1,B2,C1,HART,RD,"ISO 4217, zweistufig: syntaktische Gueltigkeit und Zulaessigkeit",typed,ja
R-013,"sf_klasse_* steht im Katalog {0, 1/2, S, M, SF1..SF50} und ist Zeichenkette",risiko_kfz,sf_klasse_hp; sf_klasse_vk,G1,B2,C1,HART,RD; FOI,Sonderklassen sind keine Zahlen; Integer-Typisierung ist ein Fehler,raw,ja
R-014,"typklasse_hp in [10,25], _tk in [10,33], _vk in [10,34]",risiko_kfz,typklasse_hp; typklasse_tk; typklasse_vk,G1,B2,C1,HART,RD; KIM; DAMA,GDV-Typklassenverzeichnis: 16 / 24 / 25 Klassen,typed,ja
R-015,"regionalklasse_hp in [1,12], _tk in [1,16], _vk in [1,9]",risiko_kfz,regionalklasse_hp; regionalklasse_tk; regionalklasse_vk,G1,B2,C1,HART,RD,GDV-Regionalklassen: 12 / 16 / 9 Stufen,typed,ja
R-016,"zuers_zone steht in {1, 2, 3, 4}",risiko_hausrat,zuers_zone,G1,B2,C1,HART,RD,ZUERS-Gefaehrdungsklassen,typed,ja
R-017,bauartklasse steht in GDV Anlage 12 und ist als Zeichenkette gefuehrt,risiko_hausrat,bauartklasse,G1,B2,C1,HART,RD; FOI,GDV Anlage 12 — gemischt numerisch und alphabetisch,raw,ja
R-018,anfrage_status steht im definierten Enum,anfrage,anfrage_status,G1,B2,C1,HART,RD,Prozessstatus des Vergleichssystems,typed,ja
R-019,"nutzungsart steht in {01, 02, 03, 08}",risiko_kfz,nutzungsart,G1,B2,C1,HART,RD,GDV Satzart 0210.050,typed,ja
R-020,"art_kennzeichen steht in {01, 04, 54}",risiko_kfz,art_kennzeichen,G1,B2,C1,HART,RD,GDV Satzart 0210.050,typed,ja
R-021,Alle Beitrags- und Summenfelder sind groesser oder gleich null,"angebot, risiko_hausrat, tarif",nettobeitrag_jahr_eur; versicherungsteuer_satz; versicherungsteuer_eur; bruttobeitrag_jahr_eur; ratenzahlungszuschlag_prozent; zahlbeitrag_rate_eur; sb_tk_eur; sb_vk_eur; sb_hausrat_prozent; sb_hausrat_eur; versicherungssumme_eur; sublimit_fahrrad_eur; sublimit_wertsachen_eur; deckungssumme_personen_eur; deckungssumme_sach_eur; deckungssumme_vermoegen_eur,G1,B3,C1,HART,RD; KIM,Negative Beitraege sind fachlich unmoeglich,typed,ja
R-022,wohnflaeche_qm liegt im plausiblen Korridor (config.schwellen),risiko_hausrat,wohnflaeche_qm,G1,B3,C2,WARNUNG,ABE; FOI,Werte ausserhalb sind Eingabe- oder Einheitenfehler,typed,ja
R-023,baujahr liegt zwischen 1500 und dem Jahr des Stichtags,risiko_hausrat,baujahr,G1,B3,C1,HART,RD; FOI,Ein Baujahr in der Zukunft ist unmoeglich,typed,ja
R-024,"deckungssumme_personen >= 7.500.000, _sach >= 1.300.000, _vermoegen >= 50.000",tarif,deckungssumme_personen_eur; deckungssumme_sach_eur; deckungssumme_vermoegen_eur,G1,B3,C1,HART,RD; DAMA,"PflVG, Anlage zu Paragraf 4 Absatz 2 — gesetzliche Mindestdeckung",typed,ja
R-025,"Kein Feld enthaelt einen impliziten Fehlwert (Sentinel je Datentyp, ausgenommen die Felder mit legitimem Sentinelwert)",alle,alle Felder der Entitaet,G1,B1,C2,WARNUNG,FOI; RD; KIM,"Fehlwerte, die als gefuellte Werte getarnt sind. Die Ausnahmeliste zeigt die Grenze von Sentinel-Heuristiken",raw,ja
R-026,erstzulassung liegt nicht nach dem Stichtag,risiko_kfz,erstzulassung,G2,B3,C1,HART,RD; FAN,Eine Erstzulassung kann nicht in der Zukunft liegen,typed,ja
R-027,erstzulassung <= zulassung_auf_vn <= stichtag,risiko_kfz,erstzulassung; zulassung_auf_vn,G2,B4,C1,HART,FAN; RD,Ein Fahrzeug wird nicht vor seiner Erstzulassung auf den Versicherungsnehmer zugelassen,typed,ja
R-028,fuehrerschein_datum >= geburtsdatum plus 17 Jahre und <= stichtag,person,fuehrerschein_datum; geburtsdatum,G2,B4,C1,HART,FAN; RD,Begleitetes Fahren ab 17 ist die Untergrenze (Paragraf 48a FeV),typed,ja
R-029,schadenfreie_jahre(sf_klasse_hp) <= Alter(VN) minus 17,"risiko_kfz, person",sf_klasse_hp,G2,B4,C1,HART,FAN; CHU,"Man kann nicht laenger schadenfrei fahren, als man den Fuehrerschein besitzt. Abbildung in spec/01, Abschnitt 2.8",typed,ja
