verfahren,fehlerklasse,teilversuch,ebene,precision_ohne_mitgezogen,precision_mit_mitgezogen,precision_differenz,recall_ohne_mitgezogen,recall_mit_mitgezogen,recall_differenz,f1_ohne_mitgezogen,f1_mit_mitgezogen,f1_differenz
prototyp,F1,haupt,zellebene,0.6153748742613193,0.6153748742613193,0.0,0.44522922601203857,0.44522922601203857,0.0,0.5163563839896763,0.5163563839896763,0.0
B0,F1,haupt,zellebene,1.0,1.0,0.0,0.3363286872071287,0.3363286872071287,0.0,0.5033588551439292,0.5033588551439292,0.0
B2,F1,haupt,zellebene,0.04182338468146496,0.04182338468146496,0.0,0.2570194094449639,0.2570194094449639,0.0,0.06620944760850042,0.06620944760850042,0.0
prototyp,F2,haupt,zellebene,0.8204927056579638,0.8204927056579638,0.0,1.0,1.0,0.0,0.9013829992262549,0.9013829992262549,0.0
B0,F2,haupt,zellebene,1.0,1.0,0.0,0.9024209280886627,0.9024209280886627,0.0,0.9487078665454961,0.9487078665454961,0.0
B2,F2,haupt,zellebene,0.00954961505564945,0.00954961505564945,0.0,0.3124450086563946,0.3124450086563946,0.0,0.018464538881478056,0.018464538881478056,0.0
prototyp,F3,haupt,zellebene,0.5390426240691756,0.5390426240691756,0.0,0.8662223267342964,0.8662223267342964,0.0,0.6645220247227225,0.6645220247227225,0.0
B0,F3,haupt,zellebene,1.0,1.0,0.0,0.13377767326570342,0.13377767326570342,0.0,0.2359855889613561,0.2359855889613561,0.0
B2,F3,haupt,zellebene,0.003336354836734872,0.003336354836734872,0.0,0.22772439498034375,0.22772439498034375,0.0,0.006557637876152854,0.006557637876152854,0.0
prototyp,F4,haupt,zellebene,0.2973377909973955,0.2973377909973955,0.0,1.0,1.0,0.0,0.4583811711879435,0.4583811711879435,0.0
B0,F4,haupt,zellebene,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B2,F4,haupt,zellebene,0.0035724706871622922,0.0035724706871622922,0.0,0.27551442921002844,0.27551442921002844,0.0,0.007003129670554195,0.007003129670554195,0.0
prototyp,F5,haupt,zellebene,0.41700979001263727,0.41700979001263727,0.0,0.8296950002028194,0.8296950002028194,0.0,0.5550173471637475,0.5550173471637475,0.0
B0,F5,haupt,zellebene,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B2,F5,haupt,zellebene,0.007096932227319576,0.007096932227319576,0.0,0.19939212908135,0.19939212908135,0.0,0.013438635696407037,0.013438635696407037,0.0
prototyp,F7,haupt,zellebene,0.3465886571472087,0.3465886571472087,0.0,0.9863751033912325,0.9863751033912325,0.0,0.5111366490765092,0.5111366490765092,0.0
B0,F7,haupt,zellebene,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B2,F7,haupt,zellebene,0.004478526995829945,0.004478526995829945,0.0,0.23984387923904044,0.23984387923904044,0.0,0.008704183734688654,0.008704183734688654,0.0
prototyp,F8,haupt,zellebene,0.834413453577716,0.834413453577716,0.0,0.3087001604832603,0.18843129431413905,-0.12026886616912127,0.45065601863758775,0.30740061290797527,-0.14325540572961248
B0,F8,haupt,zellebene,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B2,F8,haupt,zellebene,0.03714299159030202,0.045815438078404665,0.008672446488102642,0.2498670732051292,0.18861772555874806,-0.061249347646381125,0.06225588018535111,0.0701572394441811,0.007901359258829996
prototyp,F6,T1,satzebene,0.2978339215044629,0.2978339215044629,0.0,0.9935882152588558,0.9935882152588558,0.0,0.4574074487535948,0.4574074487535948,0.0
B0,F6,T1,satzebene,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B2,F6,T1,satzebene,0.05679166173749289,0.05679166173749289,0.0,0.19054155313351498,0.19054155313351498,0.0,0.07914770511216684,0.07914770511216684,0.0
prototyp,HO1,T2,satzebene,1.0,1.0,0.0,0.7945564516129032,0.7945564516129032,0.0,0.8852218687133064,0.8852218687133064,0.0
prototyp,HO2,T2,zellebene,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
