verfahren,fehlerklasse,teilversuch,ebene,precision,precision_ci_unten,precision_ci_oben,precision_ci_art,recall,recall_ci_unten,recall_ci_oben,recall_ci_art,f1,f1_ci_unten,f1_ci_oben,f1_ci_art
prototyp,F1,haupt,satzebene,0.6557137490411832,0.654278566794062,0.6569959264699092,bca,0.6032671745665535,0.6025352017832469,0.6040622431895437,bca,0.6283545239446366,0.6277547621248302,0.6288650062320459,bca
B0,F1,haupt,satzebene,1.0,1.0,1.0,entartet,0.39384077233844766,0.3933931370001539,0.394240291347698,bca,0.5636986709308067,0.5632160844701278,0.5641310380474325,bca
B2,F1,haupt,satzebene,0.639863571296006,0.6378479799761168,0.6423689181216129,bca,0.4479712019983725,0.44504638168409544,0.45158125955174855,bca,0.4729884182192635,0.47078435105434796,0.4760974928469421,bca
prototyp,F2,haupt,satzebene,1.0,1.0,1.0,entartet,1.0,0.9999902049850832,1.0,clopper-pearson,1.0,1.0,1.0,entartet
B0,F2,haupt,satzebene,1.0,1.0,1.0,entartet,0.9102616571405242,0.9099514757862792,0.910844240883733,bca,0.9530112630959702,0.9528407215926094,0.9533297877188082,bca
B2,F2,haupt,satzebene,0.1159464489122189,0.11359336453015381,0.11804731349954092,bca,0.31168465511505794,0.3023809005064716,0.31997509598812535,bca,0.16588234265531768,0.1631907305037425,0.1680098855154384,bca
prototyp,F3,haupt,satzebene,1.0,1.0,1.0,entartet,0.8821780855155132,0.8816510815581097,0.8826462791442118,bca,0.9373595302480677,0.937045568350091,0.937619260386927,bca
B0,F3,haupt,satzebene,1.0,1.0,1.0,entartet,0.14266657511242503,0.14239208131013073,0.14291951127525257,bca,0.24964050789794867,0.2492077198065052,0.2500170062522165,bca
B2,F3,haupt,satzebene,0.03714874988398279,0.03653065467635457,0.03804725297235638,bca,0.21521144439861573,0.20398835807775212,0.2274294139299831,bca,0.06217213447312098,0.06150733082529029,0.0628576138794869,bca
prototyp,F4,haupt,satzebene,1.0,1.0,1.0,entartet,1.0,0.9999875929753462,1.0,clopper-pearson,1.0,1.0,1.0,entartet
B0,F4,haupt,satzebene,0.0,0.0,0.0,entartet,0.0,0.0,1.2407024653765132e-05,clopper-pearson,0.0,0.0,0.0,entartet
B2,F4,haupt,satzebene,0.04839558737764352,0.04749406870322492,0.04928126956983634,bca,0.27303631299106634,0.26167812960095516,0.2792260831490107,bca,0.07661273466059107,0.07531487326837677,0.07798906607444618,bca
prototyp,F5,haupt,satzebene,1.0,1.0,1.0,entartet,0.7954619305133642,0.7952681197742881,0.7956682647396478,bca,0.8860781399716748,0.8859584394562687,0.8862110002293444,bca
B0,F5,haupt,satzebene,0.0,0.0,0.0,entartet,0.0,0.0,5.625291192109455e-06,clopper-pearson,0.0,0.0,0.0,entartet
B2,F5,haupt,satzebene,0.07863163099742577,0.07809493679229318,0.07914832289178766,bca,0.20237527512319126,0.20127101701995997,0.2034617177380079,bca,0.1011475754507094,0.10051203464392458,0.10176548925928627,bca
prototyp,F7,haupt,satzebene,0.6820156661890107,0.6661567543432007,0.7003449396895792,bca,0.9921031594173408,0.9918790502555924,0.9922891888517079,bca,0.804913287781193,0.793617084256497,0.8175887929899731,bca
B0,F7,haupt,satzebene,0.0,0.0,0.0,entartet,0.0,0.0,8.777281642269794e-06,clopper-pearson,0.0,0.0,0.0,entartet
B2,F7,haupt,satzebene,0.0602206422714054,0.05956972881138695,0.060710885415086534,bca,0.23931048413368652,0.23100555184039673,0.24484043472606146,bca,0.08827876496177268,0.08729700744596333,0.08904449236535757,bca
prototyp,F8,haupt,satzebene,0.19128928852586874,0.1906203687471164,0.19205235583407743,bca,0.8664298752512549,0.8636215619602412,0.8692705475107723,bca,0.3130143813517686,0.3119447036171852,0.3141567858666616,bca
B0,F8,haupt,satzebene,0.0,0.0,0.0,entartet,0.0,0.0,1.5006007429547303e-05,clopper-pearson,0.0,0.0,0.0,entartet
B2,F8,haupt,satzebene,0.11421221335298544,0.11063415565988104,0.1254244334408891,bca,0.24668427130486426,0.23971869309390662,0.25190046940510014,bca,0.14497316744269814,0.14340962478519456,0.1478132112899463,bca
