verfahren,fehlerklasse,teilversuch,ebene,precision,precision_ci_unten,precision_ci_oben,precision_ci_art,recall,recall_ci_unten,recall_ci_oben,recall_ci_art,f1,f1_ci_unten,f1_ci_oben,f1_ci_art
prototyp,F1,haupt,zellebene,0.6153748742613193,0.6120454181451105,0.6190002955755819,bca,0.44522922601203857,0.4447058165351785,0.4458630931380973,bca,0.5163563839896763,0.5151961161717691,0.5177850171311017,bca
B0,F1,haupt,zellebene,1.0,1.0,1.0,entartet,0.3363286872071287,0.3359787032249394,0.33676797304457046,bca,0.5033588551439292,0.5029565007637546,0.5038489367972674,bca
B2,F1,haupt,zellebene,0.04182338468146496,0.04165630606296228,0.04198833968609584,bca,0.2570194094449639,0.25550191812606105,0.2586489645272006,bca,0.06620944760850042,0.06593663587350033,0.06648860605802145,bca
prototyp,F2,haupt,zellebene,0.8204927056579638,0.8193226625610256,0.8219964368371215,bca,1.0,0.9999908292001315,1.0,clopper-pearson,0.9013829992262549,0.900656793040035,0.9022578434378837,bca
B0,F2,haupt,zellebene,1.0,1.0,1.0,entartet,0.9024209280886627,0.9016750120213812,0.9035101146356896,clopper-pearson,0.9487078665454961,0.9487078665454961,0.9487078665454961,entartet
B2,F2,haupt,zellebene,0.00954961505564945,0.009307021982606075,0.009766876676201285,bca,0.3124450086563946,0.30323156234182236,0.32067973100221686,bca,0.018464538881478056,0.018010899146661468,0.018867271487880827,bca
prototyp,F3,haupt,zellebene,0.5390426240691756,0.5387684222553741,0.5393264071197408,bca,0.8662223267342964,0.8647263549180723,0.867667272632074,clopper-pearson,0.6645220247227225,0.6643195287423348,0.6647507396521809,bca
B0,F3,haupt,zellebene,1.0,1.0,1.0,entartet,0.13377767326570342,0.13233272736792595,0.13527364508192774,clopper-pearson,0.2359855889613561,0.2359855889613561,0.2359855889613561,entartet
B2,F3,haupt,zellebene,0.003336354836734872,0.003260755275263675,0.0034486310009138725,bca,0.22772439498034375,0.21666753801841374,0.24067236170224868,bca,0.006557637876152854,0.0064187492816916315,0.006761665378617124,bca
prototyp,F4,haupt,zellebene,0.2973377909973955,0.29724064360868147,0.2974390051647688,bca,1.0,0.9999878102670979,1.0,clopper-pearson,0.4583811711879435,0.4582654952781397,0.45850123280617283,bca
B0,F4,haupt,zellebene,0.0,0.0,0.0,entartet,0.0,0.0,1.2189732902123557e-05,clopper-pearson,0.0,0.0,0.0,entartet
B2,F4,haupt,zellebene,0.0035724706871622922,0.0035033253288851295,0.0036379202945176522,bca,0.27551442921002844,0.2643366248159499,0.28174024921686797,bca,0.007003129670554195,0.006870456271259798,0.007130846155241571,bca
prototyp,F5,haupt,zellebene,0.41700979001263727,0.4168351500077339,0.4171541642336152,bca,0.8296950002028194,0.8296074140715783,0.8297836591299681,bca,0.5550173471637475,0.5548494159418518,0.5551537327516185,bca
B0,F5,haupt,zellebene,0.0,0.0,0.0,entartet,0.0,0.0,4.404622483638543e-06,clopper-pearson,0.0,0.0,0.0,entartet
B2,F5,haupt,zellebene,0.007096932227319576,0.007044914534262977,0.007149019079270575,bca,0.19939212908135,0.19816378847689783,0.20047003606984695,bca,0.013438635696407037,0.013338148581655216,0.01353572235830733,bca
prototyp,F7,haupt,zellebene,0.3465886571472087,0.3384382794258056,0.3562164805377099,bca,0.9863751033912325,0.9859429280397022,0.9867617866004963,bca,0.5111366490765092,0.5021391866013717,0.5211063923018726,bca
B0,F7,haupt,zellebene,0.0,0.0,0.0,entartet,0.0,0.0,8.475470594607993e-06,clopper-pearson,0.0,0.0,0.0,entartet
B2,F7,haupt,zellebene,0.004478526995829945,0.004431609937352444,0.004517214301664034,bca,0.23984387923904044,0.2316130410174218,0.24546028518881202,bca,0.008704183734688654,0.008610184040030494,0.008776135268288184,bca
prototyp,F8,haupt,zellebene,0.834413453577716,0.8337554576145395,0.8350679144969633,bca,0.3087001604832603,0.30764713107281383,0.30964185896973667,bca,0.45065601863758775,0.4494760748476614,0.4516718153317454,bca
B0,F8,haupt,zellebene,0.0,0.0,0.0,entartet,0.0,0.0,3.829228949232602e-06,clopper-pearson,0.0,0.0,0.0,entartet
B2,F8,haupt,zellebene,0.03714299159030202,0.035926737223012956,0.04062896263609837,bca,0.2498670732051292,0.24271800294281465,0.25516940378705133,bca,0.06225588018535111,0.06097391447070611,0.06509079410450387,bca
prototyp,F6,T1,satzebene,0.2978339215044629,0.2973470220917208,0.2984197520862469,bca,0.9935882152588558,0.9932816757493187,0.9938879427792914,bca,0.4574074487535948,0.4568260471480214,0.4581454743852946,bca
B0,F6,T1,satzebene,0.0,0.0,0.0,entartet,0.0,0.0,6.980144148584222e-06,clopper-pearson,0.0,0.0,0.0,entartet
B2,F6,T1,satzebene,0.05679166173749289,0.05628055408071502,0.05727264394554818,bca,0.19054155313351498,0.18845594035258267,0.19239843416965632,bca,0.07914770511216684,0.07845357413857955,0.07981203740864433,bca
prototyp,HO1,T2,satzebene,1.0,1.0,1.0,entartet,0.7945564516129032,0.7804435483870968,0.8060483870967742,bca,0.8852218687133064,0.8760268903864056,0.8922518048769855,bca
prototyp,HO2,T2,zellebene,0.0,0.0,0.0,entartet,0.0,0.0,3.4359315201798284e-05,clopper-pearson,0.0,0.0,0.0,entartet
