verfahren,fehlerrate,f1,f1_ci_unten,f1_ci_oben,mcc,mcc_ci_unten,mcc_ci_oben,pr_auc,pr_auc_ci_unten,pr_auc_ci_oben
prototyp,0.01,0.5749520815371462,0.5709342439328629,0.5799253398285953,0.6150961469135188,0.611680958520101,0.6189579202826978,,,
prototyp,0.02,0.5780980113958403,0.5740912016396502,0.5822213797785268,0.6170095505139688,0.6137509485070777,0.6204414257249242,,,
prototyp,0.05,0.5808446751750178,0.5789835463019181,0.5825506839343475,0.6171974810258812,0.6157242225248659,0.6184790004375295,,,
prototyp,0.1,0.5846495713231055,0.5827971950735216,0.5860911868496719,0.6170206859113124,0.6153868136936524,0.6182031975955319,,,
B0,0.01,0.24128638025879648,0.2410964574798419,0.24145586387110296,0.27071901970393314,0.27056746884038035,0.27084612175176886,,,
B0,0.02,0.2411177992181436,0.24097916893607602,0.24127253226955667,0.2703982487400637,0.2702923027756533,0.27051725151867184,,,
B0,0.05,0.24104748983935478,0.24092680192067595,0.24115626103233562,0.2697769223265384,0.26968374301530046,0.26986007519728616,,,
B0,0.1,0.24114965105558012,0.2410794855630663,0.24121843873106558,0.268869366880531,0.26881469110393635,0.26892087091502853,,,
B2,0.01,0.009682798752633814,0.009348488189201419,0.010232059279050054,0.01861497402928462,0.018251749944697433,0.01913471614446328,0.0032601771276797435,0.003119764460965152,0.003537044222744766
B2,0.02,0.018145006148600436,0.01742574032121575,0.01966510002413089,0.027165201420503753,0.02667382890904347,0.028087014707218656,0.006607317086715354,0.006222087517599162,0.007264317305017562
B2,0.05,0.03233383992860454,0.032176153847550425,0.03246569135789343,0.034703860764596896,0.03432084698929901,0.035049349465830756,0.013006677769926273,0.012803661872105658,0.01329370498199033
B2,0.1,0.04420032868623682,0.04398281467956682,0.0443950521953303,0.03317942598265787,0.03281912615057807,0.033555210398277,0.021394938142779214,0.02115589907704186,0.021663785610144874
