regel_id,gruppe,entitaet,laeufe_mit_meldung,meldungen_gesamt,treffer_gesamt,precision,anteil_einzige_regel,ohne_treffer,zielt_eine_variante_darauf,felder_wurden_verfaelscht,grund_ohne_treffer
R-001,R-0,"anfrage, person",180,307001,199556,0.6500174266533334,0.45994303645771295,False,True,False,
R-002,R-0,person,180,39613,39613,1.0,0.0,False,True,True,
R-003,R-0,zahlung,180,30288,30288,1.0,0.004999443082344637,False,True,True,
R-004,R-0,zahlung,180,44102,44102,1.0,0.23662598883074396,False,True,True,
R-005,R-0,zahlung,180,25552,25552,1.0,0.4577109862332541,False,True,True,
R-006,R-0,person,180,34269,34269,1.0,0.45890677754490894,False,True,True,
R-007,R-0,risiko_kfz,180,21254,21254,1.0,0.0,False,True,True,
R-008,R-0,risiko_kfz,180,21033,21033,1.0,0.0,False,True,True,
R-009,R-0,alle,180,401247,401247,1.0,0.7808430750848298,False,True,True,
R-010,R-0,anfrage,180,53473,53473,1.0,0.5182145698986236,False,True,True,
R-011,R-0,"anfrage, tarif",100,16806,16806,1.0,0.0,False,True,False,
R-012,R-0,anfrage,100,16357,16357,1.0,0.0,False,False,True,
R-013,R-0,risiko_kfz,180,32770,32770,1.0,0.47742389241210986,False,True,True,
R-014,R-0,risiko_kfz,180,66236,66236,1.0,0.0005894866462081437,False,True,True,
R-015,R-0,risiko_kfz,180,64470,64470,1.0,0.0004105972000708843,False,True,True,
R-016,R-0,risiko_hausrat,180,9267,9267,1.0,0.5047701681035014,False,True,True,
R-017,R-0,risiko_hausrat,180,11711,11711,1.0,0.48954510401878826,False,True,True,
R-018,R-0,anfrage,100,16380,16380,1.0,0.0,False,False,True,
R-019,R-0,risiko_kfz,100,11455,11455,1.0,0.0,False,False,True,
R-020,R-0,risiko_kfz,100,11376,11376,1.0,0.0,False,False,True,
R-021,R-0,"angebot, risiko_hausrat, tarif",100,223000,223000,1.0,0.0020316814394671216,False,True,False,
R-022,R-0,risiko_hausrat,180,23394,23394,1.0,0.39667171457922457,False,True,True,
R-023,R-0,risiko_hausrat,180,12938,12938,1.0,0.46748897707231046,False,True,True,
R-024,R-0,tarif,77,815,815,1.0,0.20541995938983962,False,True,True,
R-025,R-0,alle,104,1162727,1162727,1.0,0.49629783142301664,False,True,False,
R-026,R-0,risiko_kfz,100,24380,24380,1.0,0.0,False,True,True,
R-027,R-0,risiko_kfz,180,59260,29630,0.5,0.0,False,False,True,
R-028,R-0,person,100,13702,6957,0.5077360969201576,0.0,False,False,True,
R-029,R-0,"risiko_kfz, person",100,12558,12558,1.0,1.0,False,True,False,
R-030,R-0,risiko_kfz,0,0,0,,,True,False,True,"Ueberdeckung: Keine Injektionsvariante zielt auf diese Regel, ihre Felder wurden in der Serie aber verfaelscht — ohne ihre Bedingung zu verletzen. Der Katalog deckt mehr ab, als die Fehlertaxonomie adressiert."
R-031,R-0,angebot,260,2021052,828086,0.40973018012401463,0.2157032802938465,False,True,True,
R-032,R-0,angebot,340,2164059,788474,0.3643495856628678,0.2385690548699089,False,True,True,
R-033,R-0,"angebot, anfrage",180,193012,193012,1.0,0.004086449859113748,False,True,False,
R-034,R-0,"angebot, anfrage",100,93773,1589,0.01694517611679268,0.02,False,False,False,
R-035,R-0,"angebot, anfrage",180,66734,66734,1.0,0.511221244007797,False,True,False,
R-036,R-0,"angebot, anfrage",100,84656,42328,0.5,0.0,False,False,False,
R-037,R-0,angebot,100,22540,3220,0.14285714285714285,0.0,False,False,True,
R-038,R-0,risiko_kfz,180,59070,29535,0.5,0.47541517034164094,False,True,True,
R-039,R-0,risiko_kfz,180,19314,9657,0.5,0.7469648956953305,False,True,True,
R-040,R-0,risiko_hausrat,177,22656,8060,0.3557556497175141,0.0,False,False,True,
R-041,R-0,"angebot, anfrage",100,115428,57714,0.5,1.0,False,False,False,
R-042,R-0,risiko_hausrat,260,49987,20639,0.41288735071118493,0.684380576688269,False,True,True,
R-043,R-0,angebot,180,662319,248309,0.3749084655581374,0.4448788547157659,False,True,True,
R-044,R-0,angebot,180,566278,74271,0.13115642846799627,0.002558050401766174,False,False,True,
R-045,R-0,angebot,100,1022220,0,0.0,0.0,False,True,True,
R-046,R-0,"person, anfrage",120,42749,0,0.0,0.0,False,True,False,
R-047,R-0,angebot,0,0,0,,,True,False,True,"Ueberdeckung: Keine Injektionsvariante zielt auf diese Regel, ihre Felder wurden in der Serie aber verfaelscht — ohne ihre Bedingung zu verletzen. Der Katalog deckt mehr ab, als die Fehlertaxonomie adressiert."
R-048,R-0,risiko_hausrat,0,0,0,,,True,False,True,"Ueberdeckung: Keine Injektionsvariante zielt auf diese Regel, ihre Felder wurden in der Serie aber verfaelscht — ohne ihre Bedingung zu verletzen. Der Katalog deckt mehr ab, als die Fehlertaxonomie adressiert."
R-049,R-0,alle,0,0,0,,,True,False,True,"Ueberdeckung: Keine Injektionsvariante zielt auf diese Regel, ihre Felder wurden in der Serie aber verfaelscht — ohne ihre Bedingung zu verletzen. Der Katalog deckt mehr ab, als die Fehlertaxonomie adressiert."
R-050,R-0,person,180,77591,58602,0.7552680078875127,0.0,False,False,True,
R-051,R-0,risiko_kfz,260,315188,121643,0.38593791641813774,0.0,False,False,True,
R-052,R-0,angebot,100,11854,8871,0.7483549856588493,0.99,False,True,True,
R-053,R-0,"angebot, anfrage",180,225219,221257,0.9824082337635812,0.4754734745605498,False,True,False,
R-054,R-0,angebot,97,8020,7808,0.97356608478803,0.5023403046094427,False,True,True,
R-055,R-0,"angebot, tarif",159,1314266,426780,0.3247287839752379,0.6289308176100629,False,True,False,
R-056,R-0,tarif,145,2064,1033,0.500484496124031,0.5517241379310345,False,True,True,
R-057,R-0,"person, risiko_kfz, risiko_hausrat, zahlung, angebot",100,249892,249485,0.9983712964000448,1.0,False,True,False,
R-058,R-0,risiko_kfz,180,136019,74908,0.5507171792176093,0.0,False,False,True,
