verfahren,fehlerklasse,precision_zelle,recall_zelle,precision_constraint,recall_constraint,precision_differenz
prototyp,F1,0.6153748742613193,0.44522922601203857,0.9477709182430452,0.44522922601203857,0.33239604398172584
B0,F1,1.0,0.3363286872071287,1.0,0.3363286872071287,0.0
B2,F1,0.04182338468146496,0.2570194094449639,0.40449447929205445,0.2570194094449639,0.3626710946105895
prototyp,F2,0.8204927056579638,1.0,1.0,1.0,0.17950729434203616
B0,F2,1.0,0.9024209280886627,1.0,0.9024209280886627,0.0
B2,F2,0.00954961505564945,0.3124450086563946,0.1159464489122189,0.3124450086563946,0.10639683385656945
prototyp,F3,0.5390426240691756,0.8662223267342964,1.0,0.8662223267342964,0.4609573759308244
B0,F3,1.0,0.13377767326570342,1.0,0.13377767326570342,0.0
B2,F3,0.003336354836734872,0.22772439498034375,0.03714874988398279,0.22772439498034375,0.03381239504724792
prototyp,F4,0.2973377909973955,1.0,1.0,1.0,0.7026622090026045
B0,F4,0.0,0.0,0.0,0.0,0.0
B2,F4,0.0035724706871622922,0.27551442921002844,0.04839558737764352,0.27551442921002844,0.044823116690481224
prototyp,F5,0.41700979001263727,0.8296950002028194,1.0,0.8296950002028194,0.5829902099873627
B0,F5,0.0,0.0,0.0,0.0,0.0
B2,F5,0.007096932227319576,0.19939212908135,0.07863163099742577,0.19939212908135,0.0715346987701062
prototyp,F7,0.3465886571472087,0.9863751033912325,0.6820156661890107,0.9863751033912325,0.33542700904180195
B0,F7,0.0,0.0,0.0,0.0,0.0
B2,F7,0.004478526995829945,0.23984387923904044,0.0602206422714054,0.23984387923904044,0.05574211527557546
prototyp,F8,0.834413453577716,0.3087001604832603,0.9874609420101648,0.3087001604832603,0.15304748843244875
B0,F8,0.0,0.0,0.0,0.0,0.0
B2,F8,0.03714299159030202,0.2498670732051292,0.11421221335298544,0.2498670732051292,0.07706922176268341
